movie_id,title,genres,genre_ids,release_year,release_date,runtime,rating,vote_count,popularity,overview,poster_path,backdrop_path,original_language,original_title,adult,video
TMDB1193501,Whistle,Horror|Mystery,"27, 9648",2026,2026-01-20,0,6.052,116,152.8173,"A misfit group of unwitting high school students stumble upon a cursed object, an ancient Aztec Death Whistle. They discover that blowing the whistle and the terrifying sound it emits will summon their future deaths to hunt them down.",/84vAcFwxoObBuMWANWQXCg0Umg8.jpg,/finq0JnC6tIMkKczzyxLJjgWFfT.jpg,en,Whistle,False,False
TMDB799882,The Bluff,Action|Thriller,"28, 53",2026,2026-02-17,0,6.253,229,238.5567,"When her tranquil life on a remote island is shattered by the return of her vengeful former captain, a skilled ex-pirate must confront her bloody past and unleash her deadly talents to save her family from a ruthless siege.",/w0jwjFmRu2or7LQqh1tSMFjq0At.jpg,/hYgUkH7TusddHRtelj53I6gFOWR.jpg,en,The Bluff,False,False
TMDB1159559,Scream 7,Horror|Mystery|Crime,"27, 9648, 80",2026,2026-02-25,0,6.0,276,109.997,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg,/hz7TdCrpLLt2Dz7S3PS2HG9rpAO.jpg,en,Scream 7,False,False
TMDB1290821,Shelter,Action|Crime|Thriller,"28, 80, 53",2026,2026-01-28,0,6.718,264,326.8723,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",/buPFnHZ3xQy6vZEHxbHgL1Pc6CR.jpg,/nHxWyy18SvAZ8jJeemtS8k1UNjM.jpg,en,Shelter,False,False
TMDB1306368,The Rip,Action|Thriller|Crime,"28, 53, 80",2026,2026-01-13,0,7.068,1345,63.138,"Trust frays when a team of Miami cops discovers millions in cash inside a run-down stash house, calling everyone — and everything — into question.",/4wsYWH73Hb1B6noGIFaRQSAkuXj.jpg,/3F2EXWF1thX0BdrVaKvnm6mAhqh.jpg,en,The Rip,False,False
TMDB1249508,Grizzly Night,Horror|Thriller|Drama,"27, 53, 18",2026,2026-01-30,0,6.11,41,41.5841,"On August 12, 1967, in Montana's Glacier National Park, the unthinkable happened: that same night, nine miles apart, there were not one—but two—fatal grizzly bear attacks.",/d3UMQAw5EGRsLEnMfpxorHvbzHg.jpg,/i275mAQP4KhPtYUpMUgBGMmK4WN.jpg,en,Grizzly Night,False,False
TMDB1088434,Hellfire,Action|Thriller,"28, 53",2026,2026-02-05,0,6.89,50,126.2264,A drifter with a mysterious past arrives in a small town and finds the residents in the grip of a ruthless crime boss and realizes he has to help them.,/tQti9QTf13MfzNpXguijgNh7ojE.jpg,/1gLFGrxHqQebqLWpISmoFR6XWtJ.jpg,en,Hellfire,False,False
TMDB1315303,Primate,Horror|Thriller,"27, 53",2026,2026-01-01,0,6.559,457,30.193,"Lucy, a college student, along with her friends, spend their vacation at her family's home in Hawaii, which includes her pet chimpanzee, Ben. However, when Ben contracts rabies after being bitten by a rabid animal, the group must fight for their lives in order to avoid the now-violent chimp.",/z97hrgI5wbGbZvSVkBfAeBnFKAg.jpg,/9uakM2woks0JV8HKIc4oatIVS88.jpg,en,Primate,False,False
TMDB1316092,"""Wuthering Heights""",Romance|Drama,"10749, 18",2026,2026-02-11,0,6.402,479,56.7874,"Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England.",/3YBce6dTh1D5oCMITXk2S5QhPt.jpg,/vSQSYd2zZTqc0zmHImwWEGGluMI.jpg,en,"""Wuthering Heights""",False,False
TMDB1034716,People We Meet on Vacation,Romance|Comedy|Drama,"10749, 35, 18",2026,2026-01-06,0,7.0,494,29.7976,"Poppy's a free spirit. Alex loves a plan. After years of summer vacations, these polar-opposite pals wonder if they could be a perfect romantic match.",/peG6482ALJQ9Tbvv2P38BquVk0f.jpg,/qth56RA3rkUlhbDRDKGeMJEssdi.jpg,en,People We Meet on Vacation,False,False
